F12,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12
1.3800000190734862,0.0687734559178,0.122221194208,0.473484247923,0.0687734559178,0.122221194208,0.473484247923,0.0687734559178,0.47946536541,0.12452057749,0.0687734559178,0.47946536541,0.12452057749
1.4399999618530273,0.0837543010712,0.122221194208,0.479535758495,0.0837543010712,0.122221194208,0.479535758495,0.0837543010712,0.485884070396,0.12452057749,0.0837543010712,0.485884070396,0.12452057749
1.5,0.0999673381448,0.122221194208,0.483428865671,0.0999673381448,0.122221194208,0.483428865671,0.0999673381448,0.490144371986,0.12452057749,0.0999673381448,0.490144371986,0.12452057749
1.5600000381469727,0.117354981601,0.122221194208,0.485150128603,0.117354981601,0.122221194208,0.485150128603,0.117354981601,0.492232829332,0.12452057749,0.117354981601,0.492232829332,0.12452057749
1.6200000762939453,0.135683119297,0.122221194208,0.485150128603,0.135683119297,0.122221194208,0.485150128603,0.135683119297,0.492370277643,0.12452057749,0.135683119297,0.492370277643,0.12452057749
1.6799999237060548,0.15400390327,0.122221194208,0.485150128603,0.15400390327,0.122221194208,0.485150128603,0.15400390327,0.492370277643,0.12452057749,0.15400390327,0.492370277643,0.12452057749
1.7399999618530273,0.172077342868,0.122802384547,0.485150128603,0.172077342868,0.122802384547,0.485150128603,0.172077342868,0.492370277643,0.12452057749,0.172077342868,0.492370277643,0.12452057749
1.8,0.186968743801,0.129477661103,0.485150128603,0.186968743801,0.129477661103,0.485150128603,0.186968743801,0.492370277643,0.130455402657,0.186968743801,0.492370277643,0.130455402657
1.8600000381469726,0.200245663524,0.138706369326,0.485150128603,0.200245663524,0.138706369326,0.485150128603,0.200245663524,0.492370277643,0.139316914603,0.200245663524,0.492370277643,0.139316914603
1.9200000762939453,0.212147712708,0.150072488934,0.485150128603,0.212147712708,0.150072488934,0.485150128603,0.212147712708,0.492370277643,0.150315834209,0.212147712708,0.492370277643,0.150315834209
1.9799999237060546,0.222631961107,0.163534048945,0.485150128603,0.222631961107,0.163534048945,0.485150128603,0.222631961107,0.492370277643,0.163410190493,0.222631961107,0.492370277643,0.163410190493
2.0399999618530273,0.231660753489,0.179041452706,0.485150128603,0.231660753489,0.179041452706,0.485150128603,0.231660753489,0.492370277643,0.178550384939,0.231660753489,0.492370277643,0.178550384939
2.1,0.239201813936,0.196537680924,0.485150128603,0.239201813936,0.196537680924,0.485150128603,0.239201813936,0.492370277643,0.195679403841,0.239201813936,0.492370277643,0.195679403841
2.160000038146973,0.245228379965,0.215958505869,0.485150128603,0.245228379965,0.215958505869,0.485150128603,0.245228379965,0.492370277643,0.214733019471,0.245228379965,0.492370277643,0.214733019471
2.220000076293945,0.249719247222,0.237232789397,0.485150128603,0.249719247222,0.237232789397,0.485150128603,0.249719247222,0.492370277643,0.235640086234,0.249719247222,0.492370277643,0.235640086234
2.279999923706055,0.252658873796,0.260282717645,0.485150128603,0.252658873796,0.260282717645,0.485150128603,0.252658873796,0.492370277643,0.258322797716,0.252658873796,0.492370277643,0.258322797716
2.339999961853027,0.254037380219,0.285024128854,0.485150128603,0.254037380219,0.285024128854,0.485150128603,0.254037380219,0.492370277643,0.282696984708,0.254037380219,0.492370277643,0.282696984708
2.4,0.254037380219,0.311179988086,0.485150128603,0.254037380219,0.311179988086,0.485150128603,0.254037380219,0.492370277643,0.308485679328,0.254037380219,0.492370277643,0.308485679328
2.4600000381469727,0.254037380219,0.337274156511,0.485150128603,0.254037380219,0.337274156511,0.485150128603,0.254037380219,0.492370277643,0.334218375385,0.254037380219,0.492370277643,0.334218375385
2.5200000762939454,0.254037380219,0.363122053444,0.48661368282,0.254037380219,0.363122053444,0.48661368282,0.254037380219,0.493658823543,0.35989125818,0.254037380219,0.493658823543,0.35989125818
2.5799999237060547,0.254037380219,0.388727121055,0.491566745099,0.254037380219,0.388727121055,0.491566745099,0.254037380219,0.498428280465,0.385312743485,0.254037380219,0.498428280465,0.385312743485
2.6399999618530274,0.254037380219,0.413992457092,0.498050757684,0.254037380219,0.413992457092,0.498050757684,0.254037380219,0.504728685133,0.410394467413,0.254037380219,0.504728685133,0.410394467413
2.7,0.254037380219,0.438826553524,0.506041409448,0.254037380219,0.438826553524,0.506041409448,0.254037380219,0.512535728514,0.435044951737,0.254037380219,0.512535728514,0.435044951737
2.7600000381469725,0.254037380219,0.46313970536,0.515508955345,0.254037380219,0.46313970536,0.515508955345,0.254037380219,0.521819664165,0.459174461663,0.254037380219,0.521819664165,0.459174461663
2.8200000762939452,0.254037380219,0.486844263971,0.526418317109,0.254037380219,0.486844263971,0.526418317109,0.254037380219,0.532545413822,0.482695437968,0.254037380219,0.532545413822,0.482695437968
2.8799999237060545,0.254037380219,0.509855054319,0.538729228079,0.254037380219,0.509855054319,0.538729228079,0.254037380219,0.544672712684,0.505522616208,0.254037380219,0.544672712684,0.505522616208
2.9399999618530273,0.254037380219,0.532089553773,0.552396424115,0.254037380219,0.532089553773,0.552396424115,0.254037380219,0.55815628916,0.527573473752,0.254037380219,0.55815628916,0.527573473752
